projectName,pullRequestId,sourceFiles,defs,uses,diffs,totalPartitions,nonTrivialPartitions,trivialPartitions
square/okhttp,1596,3,744,2103,12,6,1,5
square/okhttp,1623,1,249,603,3,3,0,3
square/okhttp,1629,4,575,2359,47,2,2,0
square/okhttp,1633,3,593,2348,17,3,1,2
square/okhttp,1668,8,623,925,25,15,3,12
square/okhttp,1674,1,78,127,2,2,0,2
square/okhttp,174,1,22,38,7,2,1,1
square/okhttp,204,5,452,1161,11,4,2,2
square/okhttp,217,3,730,1847,10,4,2,2
square/okhttp,22,2,149,292,3,1,1,0
square/okhttp,241,12,1729,3605,94,78,2,76
square/okhttp,244,2,195,265,4,3,1,2
square/okhttp,248,2,139,272,13,8,1,7
square/okhttp,275,1,419,1366,1,1,0,1
square/okhttp,29,5,844,1957,14,7,3,4
square/okhttp,306,8,1058,2610,54,2,1,1
square/okhttp,311,11,1076,1859,47,23,7,16
square/okhttp,323,7,544,1620,29,13,2,11
square/okhttp,362,3,215,737,7,4,1,3
square/okhttp,378,18,2214,5706,76,20,2,18
square/okhttp,380,21,2328,6097,178,10,2,8
square/okhttp,39,7,383,1123,64,4,1,3
square/okhttp,40,1,59,92,1,1,0,1
square/okhttp,409,4,239,529,17,8,2,6
square/okhttp,414,1,131,136,9,3,1,2
square/okhttp,440,1,135,153,10,3,1,2
