url,projectName,pullRequestId,sourceFiles,defs,uses,diffs,totalPartitions,nonTrivialPartitions,trivialPartitions,merged,markedAsMerged,reasonForRejection
https://github.com/spring-projects/spring-framework/pull/548,spring-projects/spring-framework,548,4,192,417,7,6,1,5,true,false,
https://github.com/dropwizard/metrics/pull/205,dropwizard/metrics,205,7,94,131,25,13,4,9,false,false,Closed by contributor on the same day without providing a reason.
https://github.com/elastic/elasticsearch/pull/8813,elastic/elasticsearch,8813,1,100,362,2,1,0,1,true,true,
https://github.com/dropwizard/metrics/pull/523,dropwizard/metrics,523,2,21,18,3,1,1,0,false,false,Project specific technical reasons
https://github.com/spring-projects/spring-framework/pull/370,spring-projects/spring-framework,370,2,69,89,25,5,2,3,true,false,
https://github.com/junit-team/junit/pull/857,junit-team/junit,857,1,25,21,1,1,0,1,false,false,Contributor made an error in git and had to recreate the pull request.
https://github.com/facebook/presto/pull/448,facebook/presto,448,5,103,146,25,2,2,0,true,true,
https://github.com/libgdx/libgdx/pull/719,libgdx/libgdx,719,4,493,687,30,7,2,5,true,true,
https://github.com/elastic/elasticsearch/pull/8689,elastic/elasticsearch,8689,10,504,1010,51,4,2,2,false,false,Project specific technical reasons
https://github.com/spring-projects/spring-boot/pull/3103,spring-projects/spring-boot,3103,8,59,46,25,17,5,12,false,false,Closed by contributor on the same day without providing a reason.
https://github.com/netty/netty/pull/2884,netty/netty,2884,1,41,104,1,1,0,1,true,false,
https://github.com/dropwizard/metrics/pull/659,dropwizard/metrics,659,4,136,412,20,2,2,0,false,false,Project specific technical reasons
https://github.com/spring-projects/spring-framework/pull/78,spring-projects/spring-framework,78,7,157,263,59,9,4,5,false,false,Closed because it is a duplicate of another issue in the JIRA bug tracker of this project.
https://github.com/elastic/elasticsearch/pull/3449,elastic/elasticsearch,3449,1,57,137,1,1,0,1,true,false,
https://github.com/dropwizard/dropwizard/pull/790,dropwizard/dropwizard,790,1,7,7,2,1,1,0,true,true,
https://github.com/libgdx/libgdx/pull/1818,libgdx/libgdx,1818,2,70,149,2,1,1,0,false,false,"In the discussions, it was decided that the pull request was unnecessary."
https://github.com/spring-projects/spring-boot/pull/3013,spring-projects/spring-boot,3013,3,108,203,42,5,2,3,true,false,
